language	concept	value
Zaiwa	neck	liŋ 51 tsiŋ 21
Mandarin	needle	zhen1
Nasu	needle	ɣɤ_ 55
Lisu	needle	ɣo 42
Baihong	needle	a31 wo (ɣo?)31
Hani	needle	aq hhovq
Nosu	needle	yit
Samei	needle	ɣ. (ɣә)
Nisu	needle	ɣɤ _21
Biyue	needle	ge31
Kucong	needle	u (~vu)
Nusu	needle	jɛ
Jinghpo	needle	samyit
Lahu Shi	needle	A33 vu 21
Lahu Na	needle	xor
Zaozou	needle	a 42 a 44
Jinuo	needle	a ky
Naxi	needle	ko31
Zaiwa	needle	ap 55
Mandarin	nest	chao2
Nasu	nest	-
Lisu	nest	-
Baihong	nest	dza55 bɤ31
Hani	nest	beeq
Nosu	nest	kexke
Samei	nest	ŋɔ phɯ (phu?)
Nisu	nest	-
Biyue	nest	-
Kucong	nest	ŋa phɯ
Nusu	nest	hau ja
Jinghpo	nest	tsip
Lahu Shi	nest	-
Lahu Na	nest	pheu
Zaozou	nest	-
Jinuo	nest	ŋa zɔ a khɯ (ŋa zɔ = bird)
Naxi	nest	(v. z.) phɯ
Zaiwa	nest	-
Mandarin	(fishing) net	wang3
Nasu	(fishing) net	-
Lisu	(fishing) net	-
Baihong	(fishing) net	-
Hani	(fishing) net	hhazei
Nosu	(fishing) net	-
Samei	(fishing) net	vɔ
Nisu	(fishing) net	-
Biyue	(fishing) net	-
Kucong	(fishing) net	ɟe
Nusu	(fishing) net	-
Jinghpo	(fishing) net	sumgon
Lahu Shi	(fishing) net	-
Lahu Na	(fishing) net	geur
Zaozou	(fishing) net	-
Jinuo	(fishing) net	a khi (same as nest/web)
Naxi	(fishing) net	-
Zaiwa	(fishing) net	-
Mandarin	new	xin1
Nasu	new	ɕi_ 55
Lisu	new	e 55 ʃɨ 42
Baihong	new	sɤ31
Hani	new	siivq
Nosu	new	ashyt
Samei	new	ʂɨ
Nisu	new	sɨ_ 21
Biyue	new	a31 ʃɨ31
Kucong	new	a çәr
Nusu	new	dʑɔ
Jinghpo	new	nnan
Lahu Shi	new	ɔ31 sɨ35
Lahu Na	new	awl siq
Zaozou	new	tciæ 31
Jinuo	new	a ɕi
Naxi	new	ʂɯ55 dza
Zaiwa	new	a 21 sik 55
Mandarin	night	ye li40
Nasu	night	mu 33 tɕhi_ 55
Lisu	night	sa 44 khua 33
Baihong	night	ɤ31 gi31
Hani	night	aoq qivq
Nosu	night	kette
Samei	night	ma khә
Nisu	night	mu 33 tshɨ_ 21
Biyue	night	mi31 kje33
Kucong	night	mɔ xa kxɯ
Nusu	night	swa na
Jinghpo	night	shana
Lahu Shi	night	mo55 xA35
Lahu Na	night	pheu*
Zaozou	night	so 44 kɯ 55
Jinuo	night	mi khy
Naxi	night	mv.33 khv.55
Zaiwa	night	mjin 55 le 21
Mandarin	nine	jio3
Nasu	nine	kɯ 33
Lisu	nine	ku 44
Baihong	nine	we (ɣe)31
Hani	nine	hhyuq
Nosu	nine	ggu
Samei	nine	gau
Nisu	nine	kɯ 55
Biyue	nine	dʑi31
Kucong	nine	qo
Nusu	nine	gɯ
Jinghpo	nine	jahku
Lahu Shi	nine	qɔ31 lɛ53
Lahu Na	nine	qawd
Zaozou	nine	kɯ 31
Jinuo	nine	kɯ
Naxi	nine	ŋgv.33
Zaiwa	nine	kau 21
Mandarin	no	bu4 (shi4)
Nasu	no	ma 21 (ɲe 21)
Lisu	no	ma 31 (ŋa 33)
Baihong	no	-
Hani	no	-
Nosu	no	-
Samei	no	-
Nisu	no	mA 21 (ŋɤ 21)
Biyue	no	mo31
Kucong	no	-
Nusu	no	-
Jinghpo	no	-
Lahu Shi	no	mA313 xe53
Lahu Na	no	-
Zaozou	no	a 31 (ŋæ 42)
Jinuo	no	-
Naxi	no	-
Zaiwa	no	a 21 (ŋu_t 55)
Mandarin	nose	bi dzi20
Nasu	nose	no 21 bi_ 21
Lisu	nose	na 44 be 33
Baihong	nose	na55 mɛ55
Hani	nose	nal meil
Nosu	nose	hnapbbit
Samei	nose	nɔ bʊ (possible confused with ear?)
Nisu	nose	no 55 ko_ 21
Biyue	nose	na55 mi55
Kucong	nose	na khɔ
Nusu	nose	hi~ gau
Jinghpo	nose	ladi
Lahu Shi	nose	nA31 qhɔ53
Lahu Na	nose	naf qhawd
Zaozou	nose	na 55 a~ 55
Jinuo	nose	ŋo to
Naxi	nose	ɲi55 mәr31
Zaiwa	nose	no_ 51
Mandarin	not	bu4
Nasu	not	ma 21
Lisu	not	ma 31
Baihong	not	mɔ31
Hani	not	maq
Nosu	not	-
Samei	not	mɔ
Nisu	not	mA 21
Biyue	not	mɤ31
Kucong	not	ma
Nusu	not	ma (not ~)/mɔ (no)
Jinghpo	not	n
Lahu Shi	not	mA53
Lahu Na	not	mad
Zaozou	not	a 31
Jinuo	not	mɔ
Naxi	not	-
Zaiwa	not	a 21
Mandarin	now	xian4 zai4
Nasu	now	e 21 ŋɔ 33
Lisu	now	a 44 mɯ 33
Baihong	now	ɲa31 ŋɯ55
Hani	now	niaoq'aol
Nosu	now	apmy
Samei	now	i sɔ
Nisu	now	A 21 nE 21
Biyue	now	jo31 mɤ55
Kucong	now	a mɯ ga (ŋga?)
Nusu	now	aba
Jinghpo	now	ya
Lahu Shi	now	tɕhɛ33 ti31 tsAŋ35
Lahu Na	now	chiq tie* kheu*
Zaozou	now	a 33 tɕi 42
Jinuo	now	ja tshɨ
Naxi	now	tʂɨ ka
Zaiwa	now	a 21 khui 51
Mandarin	oar	hua2 jiang3
Nasu	oar	-
Lisu	oar	-
Baihong	oar	xɤ55
Hani	oar	-
Nosu	oar	-
Samei	oar	ʐɨ ɣa
Nisu	oar	-
Biyue	oar	-
Kucong	oar	lɔ wɔ du
Nusu	oar	-
Jinghpo	oar	-
Lahu Shi	oar	-
Lahu Na	oar	waw*? xaw*?
Zaozou	oar	-
Jinuo	oar	-
Naxi	oar	lɯ gu dzɛ
Zaiwa	oar	-
Mandarin	old [person]	lao3
Nasu	old [person]	mɔ 55
Lisu	old [person]	mo 31
Baihong	old [person]	mɔ55
Hani	old [person]	moq
Nosu	old [person]	mopsu
Samei	old [person]	mo
Nisu	old [person]	mA 21
Biyue	old [person]	mo31
Kucong	old [person]	mo
Nusu	old [person]	mɯ
Jinghpo	old [person]	gumgai dingla
Lahu Shi	old [person]	mɔ53
Lahu Na	old [person]	mawd
Zaozou	old [person]	ma 31
Jinuo	old [person]	jɔ phɔ
Naxi	old [person]	mu55
Zaiwa	old [person]	maŋ 21
Mandarin	old [thing]	jio4
Nasu	old [thing]	ɬɯ 33
Lisu	old [thing]	e 55 be 31
Baihong	old [thing]	jy55
Hani	old [thing]	yoyul
Nosu	old [thing]	axli
Samei	old [thing]	mo; u mo
Nisu	old [thing]	ɬɯ 55
Biyue	old [thing]	gi55
Kucong	old [thing]	a bi
Nusu	old [thing]	tsi
Jinghpo	old [thing]	nsa
Lahu Shi	old [thing]	ɔ31 pi313
Lahu Na	old [thing]	awl pif
Zaozou	old [thing]	uæ 35
Jinuo	old [thing]	a ɬi
Naxi	old [thing]	hɔ lu31
Zaiwa	old [thing]	a 21 tshau 21
Mandarin	one	yi1
Nasu	one	tha 21
Lisu	one	thi 31
Baihong	one	tɕi31
Hani	one	qiq
Nosu	one	cyp
Samei	one	i
Nisu	one	thiɛ 21
Biyue	one	tɤ31
Kucong	one	de
Nusu	one	tiɛ
Jinghpo	one	langai
Lahu Shi	one	ti33
Lahu Na	one	ted
Zaozou	one	tɯ 31
Jinuo	one	thi
Naxi	one	ndɯ 13
Zaiwa	one	ʒa 21
Mandarin	open	da3 kai1
Nasu	open	phu 21
Lisu	open	phu 33
Baihong	open	poŋ55
Hani	open	pao
Nosu	open	pop
Samei	open	f.
Nisu	open	khA 21
Biyue	open	v.55 po33
Kucong	open	pho
Nusu	open	phɯ
Jinghpo	open	hpo
Lahu Shi	open	phɔ33
Lahu Na	open	phaw
Zaozou	open	pho 35
Jinuo	open	pho
Naxi	open	phu33
Zaiwa	open	phoŋ 55
Mandarin	otter	shui3 ta3
Nasu	otter	ʑi 21 ʂe 33
Lisu	otter	ŋua 55 la 31
Baihong	otter	-
Hani	otter	eelsaol
Nosu	otter	sho
Samei	otter	-
Nisu	otter	zɨ 21 ɕiɛ 55
Biyue	otter	ɣɤ55 ɕi55
Kucong	otter	ɣɯ çu
Nusu	otter	-
Jinghpo	otter	sharam
Lahu Shi	otter	ɕui33 thA 21 mɔ33
Lahu Na	otter	xeul pheud
Zaozou	otter	ɣæ 33 ɣa~ 55 o~ 33
Jinuo	otter	-
Naxi	otter	-
Zaiwa	otter	xam 51
Mandarin	outside	wai4 mian4
Nasu	outside	ɲe 55
Lisu	outside	ba 33 sɨ 44
Baihong	outside	la31 ni (ɲi)55 po31
Hani	outside	laq nil pyu
Nosu	outside	hxixgu
Samei	outside	nɔ bo
Nisu	outside	A 21 niɛ 55
Biyue	outside	ɔ31 nv.53 li55
Kucong	outside	xæ gɔ
Nusu	outside	zɔ bɔ (za ba ?)
Jinghpo	outside	shinggan
Lahu Shi	outside	ɔ31 phɯ33 phɔ53
Lahu Na	outside	awl pa*
Zaozou	outside	tha 31 pu 31 ɕi 33
Jinuo	outside	a no
Naxi	outside	-
Zaiwa	outside	ʃiŋ 21 ka_n 21 ma 55
Mandarin	palm	shou zhang33
Nasu	palm	la_ 55 kɔ 33
Lisu	palm	lɛ 31 tʃo 55
Baihong	palm	la31 xɔ55
Hani	palm	aq lavq lavq hov
Nosu	palm	lotbbu
Samei	palm	le phe
Nisu	palm	li_ɛ_ 21 thA 21 kA 55
Biyue	palm	la31 he33
Kucong	palm	la xu
Nusu	palm	lo pja
Jinghpo	palm	ta lahpan
Lahu Shi	palm	lA31 fu33 pɛ54
Lahu Na	palm	lar tow pie
Zaozou	palm	lou 42 pa 42
Jinuo	palm	la khy
Naxi	palm	la31 mbә33
Zaiwa	palm	lo? 21 va 21 khau 21
Mandarin	penis	yin jing11
Nasu	penis	dzi 21
Lisu	penis	hu 31
Baihong	penis	a31 lu (ly?)31
Hani	penis	-
Nosu	penis	-
Samei	penis	dә
Nisu	penis	dzɨ 21
Biyue	penis	bo31 lo33
Kucong	penis	-
Nusu	penis	bɯ
Jinghpo	penis	ja-ku
Lahu Shi	penis	-
Lahu Na	penis	nif ta*
Zaozou	penis	pɯ 31 tæ 31
Jinuo	penis	-
Naxi	penis	mbi 33 lɯ njy33
Zaiwa	penis	ɲi_ 21
Mandarin	person	ren2
Nasu	person	tshɔ 21
Lisu	person	tsho 44 za 31
Baihong	person	-
Hani	person	-
Nosu	person	co
Samei	person	tsu
Nisu	person	tʂhA21
Biyue	person	dzo55
Kucong	person	-
Nusu	person	-
Jinghpo	person	masha
Lahu Shi	person	tshɔ33
Lahu Na	person	chaw
Zaozou	person	tɕa 33 su 33 ʑa 44
Jinuo	person	-
Naxi	person	ɕi33
Zaiwa	person	pju 51
Mandarin	pestle	chu3
Nasu	pestle	te_ 55 si_ 21
Lisu	pestle	lui 31 du 33
Baihong	pestle	toŋ31 gi55
Hani	pestle	-
Nosu	pestle	dipsyt
Samei	pestle	-
Nisu	pestle	bE 21 du 21
Biyue	pestle	to31 dʑi55
Kucong	pestle	ca de mɯ
Nusu	pestle	bɯ tʂwe
Jinghpo	pestle	htumun
Lahu Shi	pestle	tɕhɛ33 mɤ53
Lahu Na	pestle	ca* ti* tu*
Zaozou	pestle	tɕha 31 ?ue 44 tuo 33 a 44
Jinuo	pestle	tshɔ thɤ
Naxi	pestle	-
Zaiwa	pestle	thuŋ 55 kji_ 21
Mandarin	phlegm	tan2
Nasu	phlegm	ti 55 po_ 21
Lisu	phlegm	tshɯ 31 hɯ 31 na 44 pe 35
Baihong	phlegm	u55 tsa55
Hani	phlegm	zaoq peivq
Nosu	phlegm	hapyyr
Samei	phlegm	æ (ʔæ ?) hæ bɔ
Nisu	phlegm	ʔiɛ 21 biɛ 33
Biyue	phlegm	ti31 kɔ31
Kucong	phlegm	ŋa
Nusu	phlegm	di kha
Jinghpo	phlegm	mahka
Lahu Shi	phlegm	nu35 qhɛ53 nɛ53
Lahu Na	phlegm	ciq xeud
Zaozou	phlegm	tæ 44 khɔ 31
Jinuo	phlegm	khjɔ la
Naxi	phlegm	tʂәr33 pe
Zaiwa	phlegm	khjuŋ 21 kjo_? 55
Mandarin	pick	zhai1
Nasu	pick	tshɚ_ 21
Lisu	pick	ha 42
Baihong	pick	dzɤ31
Hani	pick	cev
Nosu	pick	xie
Samei	pick	ɕi
Nisu	pick	xɛ_ 21
Biyue	pick	dzv.33
Kucong	pick	cæ
Nusu	pick	dze
Jinghpo	pick	di
Lahu Shi	pick	sA35
Lahu Na	pick	shaq
Zaozou	pick	tsæ 44
Jinuo	pick	tʃhu
Naxi	pick	phɯ55
Zaiwa	pick	phjo? 55
Mandarin	pig	zhu1
Nasu	pig	va_ 55
Lisu	pig	a 55 vɛ 42
Baihong	pig	a31 va (ɣa?)31
Hani	pig	aq hhavq
Nosu	pig	wo
Samei	pig	ve
Nisu	pig	vi_ɛ_ 21
Biyue	pig	va31
Kucong	pig	wa (va?)
Nusu	pig	wo
Jinghpo	pig	wa
Lahu Shi	pig	vA 21
Lahu Na	pig	var
Zaozou	pig	ao 42 o~ 33
Jinuo	pig	va ni
Naxi	pig	mbu31
Zaiwa	pig	vaʔ 21
Mandarin	pigeon	ge zi10
Nasu	pigeon	ɖɯ 55 ɳɯ 33
Lisu	pigeon	a 55 gu 31
Baihong	pigeon	xɔ31 xɔ31
Hani	pigeon	laqhyul hoqhyuq
Nosu	pigeon	taphlymu
Samei	pigeon	du gu
Nisu	pigeon	do 21 tsɨ 55 nu 33
Biyue	pigeon	ŋa33 jv.55
Kucong	pigeon	a bɯ
Nusu	pigeon	tɔ ɬi
Jinghpo	pigeon	ura
Lahu Shi	pigeon	kɔ31 tsɨ33
Lahu Na	pigeon	gu
Zaozou	pigeon	thæ 33 læ 33
Jinuo	pigeon	kɔ tsɨ
Naxi	pigeon	tho33 li31
Zaiwa	pigeon	ka_i 55 kje 21
Mandarin	pine	song shu14
Nasu	pine	thɔ 33 si_ 21
Lisu	pine	tho 31 dzɨ 44
Baihong	pine	mi31 ɕu55 a55 b55
Hani	pine	taoq suq al bol
Nosu	pine	te
Samei	pine	-
Nisu	pine	thA 33 dzE 21
Biyue	pine	to31 ɕi55
Kucong	pine	ʝæ gә ɟæ
Nusu	pine	swa~ dzә
Jinghpo	pine	marau hpun
Lahu Shi	pine	thɔ33 sɨ54
Lahu Na	pine	thawd sit
Zaozou	pine	tha~ 31 tse~ 33
Jinuo	pine	soŋ ʃu
Naxi	pine	tho33 ndzәr31
Zaiwa	pine	thaŋ 21 mo 55
Mandarin	piss	niao4
Nasu	piss	zi 33
Lisu	piss	zɨ 31
Baihong	piss	a55 sɨ55
Hani	piss	al jeil
Nosu	piss	ssy
Samei	piss	ʂɨ
Nisu	piss	sɨ 55
Biyue	piss	ji31 tsɤ55
Kucong	piss	ɟә
Nusu	piss	ʑi
Jinghpo	piss	jit
Lahu Shi	piss	dzɨ55
Lahu Na	piss	dzid
Zaozou	piss	ɕi 31 khɔ 31
Jinuo	piss	i tshe
Naxi	piss	mbi33
Zaiwa	piss	i 21 ʃi 51
Mandarin	plantain	ba1 jiao1
Nasu	plantain	-
Lisu	plantain	ŋa 44 ma 33
Baihong	plantain	-
Hani	plantain	al qul
Nosu	plantain	-
Samei	plantain	-
Nisu	plantain	ni_ɛ_ 33 bɤ 21
Biyue	plantain	ŋa31 sɨ31
Kucong	plantain	a bo ba
Nusu	plantain	-
Jinghpo	plantain	langu hpun
Lahu Shi	plantain	A33 pɔ55 sɨ11
Lahu Na	plantain	aq pawd shif
Zaozou	plantain	ba 33 tɕio 33
Jinuo	plantain	na sɨ
Naxi	plantain	-
Zaiwa	plantain	ŋo`ʔ 55 mjuʔ 21
Mandarin	plough (n)	li2
Nasu	plough (n)	si_ 21 go_ 55
Lisu	plough (n)	sɨ 35 go 42
Baihong	plough (n)	tɕe31
Hani	plough (n)	niuqcieq
Nosu	plough (n)	syrggut
Samei	plough (n)	ji
Nisu	plough (n)	dʐo 33
Biyue	plough (n)	nv.31 tsɤ31
Kucong	plough (n)	cɛ
Nusu	plough (n)	ʐu
Jinghpo	plough (n)	nahtai
Lahu Shi	plough (n)	lA33 phɯ53
Lahu Na	plough (n)	lad pheud
Zaozou	plough (n)	ɣo~ 31 tso~ 33
Jinuo	plough (n)	li
Naxi	plough (n)	ɣ. lɯ dʐɔ
Zaiwa	plough (n)	li 21
Mandarin	poison	du2 yao4
Nasu	poison	do_ 55 tshi 33
Lisu	poison	do 42
Baihong	poison	dʊ31 jo31
Hani	poison	naciqciqduvq
Nosu	poison	ddutcy
Samei	poison	tsu no mo
Nisu	poison	tu_ 21 no 21 tshɨ 33
Biyue	poison	dv.31 jo35
Kucong	poison	do
Nusu	poison	du
Jinghpo	poison	gung
Lahu Shi	poison	nA35 tshɨ33 to31 pɯ35
Lahu Na	poison	nat zhid tawr ma
Zaozou	poison	ta 42
Jinuo	poison	to tshɨ
Naxi	poison	ndv31
Zaiwa	poison	mjo 21 noʔ 55
Mandarin	pull	la1
Nasu	pull	ŋghɔ 21
Lisu	pull	tʃɨ 35
Baihong	pull	ɣɯ (ɯ?)55
Hani	pull	hhe
Nosu	pull	mgo
Samei	pull	ɕi
Nisu	pull	gA 21
Biyue	pull	dzɨ53
Kucong	pull	go
Nusu	pull	na
Jinghpo	pull	gang
Lahu Shi	pull	ɣɔ31
Lahu Na	pull	xawl
Zaozou	pull	xe 33
Jinuo	pull	mjo
Naxi	pull	ta31
Zaiwa	pull	laŋ 21
Mandarin	pumpkin	nan gua21
Nasu	pumpkin	o 33 phu 55
Lisu	pumpkin	a 55 phu 31
Baihong	pumpkin	ma55 de31
Hani	pumpkin	mal dei
Nosu	pumpkin	-
Samei	pumpkin	-
Nisu	pumpkin	A 55 phɤ 21 sE 55
Biyue	pumpkin	ma55 tje33
Kucong	pumpkin	a mɯ çi
Nusu	pumpkin	-
Jinghpo	pumpkin	hkumhkye
Lahu Shi	pumpkin	mɯ55 sɨ11
Lahu Na	pumpkin	peud meud shif
Zaozou	pumpkin	tɕa 31 ɔ 35
Jinuo	pumpkin	ma pa
Naxi	pumpkin	-
Zaiwa	pumpkin	phe` 55 xum 51
Mandarin	push	tui1
Nasu	push	mbhu 33
Lisu	push	de 31
Baihong	push	de31
Hani	push	deiq
Nosu	push	ddip
Samei	push	tsu
Nisu	push	ti 55
Biyue	push	di33
Kucong	push	bɯ
Nusu	push	du
Jinghpo	push	nong
Lahu Shi	push	bɯ54
Lahu Na	push	car
Zaozou	push	pe~ 42
Jinuo	push	zɨ
Naxi	push	my55
Zaiwa	push	tʃu_n 21
Mandarin	put	fang4
Nasu	put	to 33
Lisu	put	fu 44
Baihong	put	xe31 dɤ (dɔ?)55
Hani	put	pieiq
Nosu	put	tip
Samei	put	gɯ dɔ
Nisu	put	to 33
Biyue	put	v.55 tɔ31
Kucong	put	da
Nusu	put	kha
Jinghpo	put	ton
Lahu Shi	put	zu31 tA31
Lahu Na	put	iie* ta*
Zaozou	put	tɔ 44
Jinuo	put	ko khɹɒ
Naxi	put	a tɕi33
Zaiwa	put	to 21
Mandarin	rain, to	xia4 yu3
Nasu	rain, to	ho 21
Lisu	rain, to	ha 33
Baihong	rain, to	ɔ31 je55 je55 (ʒe ʒe?)
Hani	rain, to	aoq sseil sseil
Nosu	rain, to	-
Samei	rain, to	mә hɔ hɔ
Nisu	rain, to	xiɛ 55
Biyue	rain, to	ɔ31 xo55 xo55
Kucong	rain, to	mo ʝɛ ʝɛ qɔ
Nusu	rain, to	mw ʐɔ (ʐo) (tian + xia)
Jinghpo	rain, to	marang htu
Lahu Shi	rain, to	lA31
Lahu Na	rain, to	mud yi* la*
Zaozou	rain, to	v.u 33 (typo?)
Jinuo	rain, to	mi tha xo
Naxi	rain, to	-
Zaiwa	rain, to	vo 51
Mandarin	rain	yu3
Nasu	rain	mu 33 ho 33
Lisu	rain	mɯ 31 ha 33
Baihong	rain	ɔ31 je (ʒe?)55
Hani	rain	aoq sseil
Nosu	rain	mahxa
Samei	rain	mә ho
Nisu	rain	A 55 xo 33
Biyue	rain	o31 xo55
Kucong	rain	mɔ jɛ
Nusu	rain	mɯ ʐuo (= tian xia)
Jinghpo	rain	marang
Lahu Shi	rain	mo55 ʑe31
Lahu Na	rain	mud yel
Zaozou	rain	mɯ 31 ɣe 42
Jinuo	rain	mi tha
Naxi	rain	xɯ31
Zaiwa	rain	mau 21
Mandarin	rainbow	cai hong32
Nasu	rainbow	a 55 mu 33 sa_ 55 ʑi_ 33
Lisu	rainbow	a 55 mo 31 ʃɨ 33
Baihong	rainbow	dɤ31 bɤ31 la55 tɕʊ31
Hani	rainbow	bei dol lul cuq
Nosu	rainbow	siw
Samei	rainbow	lau de gɔ
Nisu	rainbow	vi_ɛ_ 21 mo 21 sE 55 zɨ 55
Biyue	rainbow	ɲi55 tsa55 la55 kv33
Kucong	rainbow	a na na çjʊ
Nusu	rainbow	to dʐɨ
Jinghpo	rainbow	n-golatum
Lahu Shi	rainbow	nA33 mo31 nA33 gɤ53 sɯ54
Lahu Na	rainbow	a mud lal shiq jaw
Zaozou	rainbow	mæ 44 kho 33
Jinuo	rainbow	ko (kɔ?) ta ko tshœ
Naxi	rainbow	mɯ33 ɕin nda nji31
Zaiwa	rainbow	voʔ 21 kan 21 ʃiŋ 55 jaŋ 21
Mandarin	rat	lao shu33
Nasu	rat	ha_ 21
Lisu	rat	hɛ 35
Baihong	rat	f.55 dza55
Hani	rat	hacavq
Nosu	rat	axhxie
Samei	rat	hɔ
Nisu	rat	mi 21 dɤ 33
Biyue	rat	fv.33 tsa31
Kucong	rat	fa ca
Nusu	rat	ʐu
Jinghpo	rat	yu
Lahu Shi	rat	fA53 tshA31
Lahu Na	rat	fat
Zaozou	rat	vu 42 o~ 33
Jinuo	rat	ho tʃha
Naxi	rat	fv.55
Zaiwa	rat	ŋo 21 noʔ 21
Mandarin	raw	sheng1
Nasu	raw	dzɨ 33
Lisu	raw	e 55 dzɨ 31
Baihong	raw	-
Hani	raw	-
Nosu	raw	-
Samei	raw	ji
Nisu	raw	dzE 33
Biyue	raw	dʑi31
Kucong	raw	ɟә
Nusu	raw	dʐɔ
Jinghpo	raw	gatsing
Lahu Shi	raw	mA31 mɛ33
Lahu Na	raw	awl zid
Zaozou	raw	tɕiæ 31
Jinuo	raw	a tʃe
Naxi	raw	-
Zaiwa	raw	a 21 tʃum 21
Mandarin	red	hong2
Nasu	red	ne 21
Lisu	red	e 55 sɨ 31
Baihong	red	ɲi55
Hani	red	nil
Nosu	red	ahni
Samei	red	ɲi
Nisu	red	nɤ 55
Biyue	red	nɤ55
Kucong	red	a ni
Nusu	red	xi
Jinghpo	red	hkye
Lahu Shi	red	ni33
Lahu Na	red	ni
Zaozou	red	ne 33
Jinuo	red	a nә
Naxi	red	ɕy31
Zaiwa	red	ne 51
Mandarin	release	shi fang44
Nasu	release	-
Lisu	release	-
Baihong	release	pje31
Hani	release	-
Nosu	release	fat
Samei	release	sɨ ji
Nisu	release	-
Biyue	release	-
Kucong	release	phæ feu
Nusu	release	ga
Jinghpo	release	dat
Lahu Shi	release	-
Lahu Na	release	phied
Zaozou	release	-
Jinuo	release	fa nә
Naxi	release	le khɯ
Zaiwa	release	-
Mandarin	remember	ji de42
Nasu	remember	tɕhɚ 33
Lisu	remember	tʃi 55 ua 44
Baihong	remember	ny31 dɤ31
Hani	remember	nyuqduv qivq
Nosu	remember	shutyip
Samei	remember	dz(ɨ) dɔ
Nisu	remember	tɤ 33 do 21
Biyue	remember	dʑi55 gɔ_31
Kucong	remember	do no
Nusu	remember	sœ
Jinghpo	remember	lu matsing
Lahu Shi	remember	dɔ55 nɔ53
Lahu Na	remember	nawd
Zaozou	remember	tɕɯ 44 ɣuo 35
Jinuo	remember	tʃɨ a mә
Naxi	remember	tɕә55 ty33 ndɯ33
Zaiwa	remember	vo 55 ŋa_m 21
Mandarin	return	hui2
Nasu	return	go_ 55
Lisu	return	li 42 ge 33
Baihong	return	xo31
Hani	return	hhuvq
Nosu	return	bur
Samei	return	u li
Nisu	return	gu_ 21
Biyue	return	di55 la55
Kucong	return	go la (la = come)
Nusu	return	da ŋa
Jinghpo	return	wa
Lahu Shi	return	qui 21
Lahu Na	return	qawr e (= huiqu)
Zaozou	return	tæ 33
Jinuo	return	no phoj
Naxi	return	le33 tɕy31
Zaiwa	return	lo 51
Mandarin	rice (cooked)	fan4
Nasu	rice (cooked)	a 21 ja 33
Lisu	rice (cooked)	dza 33
Baihong	rice (cooked)	a55 xo (xɔ?)31
Hani	rice (cooked)	hoq
Nosu	rice (cooked)	zza
Samei	rice (cooked)	dzo
Nisu	rice (cooked)	dʐo 21
Biyue	rice (cooked)	xo31
Kucong	rice (cooked)	o
Nusu	rice (cooked)	miɛ miɛ
Jinghpo	rice (cooked)	shat
Lahu Shi	rice (cooked)	o11
Lahu Na	rice (cooked)	awf
Zaozou	rice (cooked)	tsou 33 mi 42
Jinuo	rice (cooked)	a me
Naxi	rice (cooked)	tʂwa pәr
Zaiwa	rice (cooked)	tsaŋ 21
Mandarin	rice plant	dao4
Nasu	rice plant	tʂhe 21
Lisu	rice plant	tʃhɯ 44
Baihong	rice plant	tɕe55
Hani	rice plant	ceil
Nosu	rice plant	che
Samei	rice plant	tɕi
Nisu	rice plant	tɕhiɛ 21
Biyue	rice plant	dɕi55
Kucong	rice plant	ɟa
Nusu	rice plant	miɛ miɛ
Jinghpo	rice plant	mam
Lahu Shi	rice plant	tsA31
Lahu Na	rice plant	cal
Zaozou	rice plant	kɯ 31 ɕyi 31
Jinuo	rice plant	tao
Naxi	rice plant	ɕi31
Zaiwa	rice plant	jo` 21 thuŋ 21 kuʔ 21
Mandarin	ride	qi2
Nasu	ride	dzo, 33
Lisu	ride	dzɯ 31
Baihong	ride	dʑi31
Hani	ride	ziiq
Nosu	ride	zzy
Samei	ride	jia
Nisu	ride	dzE 33
Biyue	ride	dzɨ31
Kucong	ride	ʝi
Nusu	ride	dzɨ
Jinghpo	ride	jon
Lahu Shi	ride	tɕi53
Lahu Na	ride	cid
Zaozou	ride	tɕi 31
Jinuo	ride	tsɨ
Naxi	ride	ndza33
Zaiwa	ride	tʃi 21
Mandarin	right	you4
Nasu	right	se 55
Lisu	right	lɛ 31 ʒɛ 44
Baihong	right	-
Hani	right	jaqmal
Nosu	right	yi
Samei	right	le jɔ
Nisu	right	A 55 ʐo 33
Biyue	right	la31 tha31
Kucong	right	la ʝɛ
Nusu	right	jɔ
Jinghpo	right	hkra
Lahu Shi	right	lA 21 tsuo53
Lahu Na	right	lar sha
Zaozou	right	lou 42 ʑo 33
Jinuo	right	la mɒ (la = hand)
Naxi	right	ʑi31
Zaiwa	right	lo? 21 jo 51
Mandarin	ripe	shu2
Nasu	ripe	mɚ 21
Lisu	ripe	mi 44
Baihong	ripe	ɣɔ31
Hani	ripe	ovq
Nosu	ripe	hmip
Samei	ripe	mi
Nisu	ripe	mi_ɛ_ 21
Biyue	ripe	mi33
Kucong	ripe	mæ
Nusu	ripe	hmre
Jinghpo	ripe	myin
Lahu Shi	ripe	mɛ55 ɣɔ313
Lahu Na	ripe	mie
Zaozou	ripe	me 35
Jinuo	ripe	tʃa; a tʃa
Naxi	ripe	mi55
Zaiwa	ripe	mji_ŋ 55
Mandarin	river	jiang1
Nasu	river	ʑi 21 bu 33
Lisu	river	e 31 ma 33
Baihong	river	lɔ55 ba31
Hani	river	baq ma
Nosu	river	nuoyy
Samei	river	ʐɨ mɔ dʐɔ
Nisu	river	lA 33
Biyue	river	lo55 bo31
Kucong	river	-
Nusu	river	-
